simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	Area50	Area70	Area90	Dis50	Dis70	Dis90	Vol50	Vol70	Vol90
1000	5.533955	0.8814306	2.8583536	2166.0862	66.51092	47.08847	-0.26070815	-0.12713602	17.89139149	32.8349719	75.65707963	271.18451046	418.93310719	675.47265559	1450179.77215487	2962409.58970265	7705695.23521513
1001	2.2075098	0.6177452	0.29225132	11152.694	42.691593	28.616089	0.08159538	0.19214232	772.06243151	1398.28280093	2758.93629826	1006.70339609	1538.51375038	2403.26407564	7.60101956e+08	1.37086421e+09	2.69517285e+09
1002	3.5785215	0.37633073	2.4518623	3969.2344	40.914833	36.58115	0.15473771	0.58469105	735.64553391	1396.21702333	2822.2539887	902.3978627	1374.10398835	2141.68680269	5.45307501e+08	1.0673344e+09	2.34920165e+09
1003	6.191494	-0.15187511	2.5917652	2203.848	30.306356	17.913326	-0.056610685	0.22217499	7489.31104205	12596.86456295	21379.37840377	878.48403171	1335.01470806	2072.18221937	3.64295904e+09	6.55421274e+09	1.19223879e+10
1004	0.6316822	0.27664125	2.5726485	2022.8584	66.56053	12.436061	0.49588883	0.8043035	289.0352927	505.5594711	947.38256815	699.78504693	1072.8594567	1693.85710425	1.54766109e+08	2.88035386e+08	6.04752634e+08
1006	1.4952577	-0.4252902	2.3940823	1348.2733	28.209387	11.852312	0.15147913	-0.044707038	553.88920344	1020.04071002	2282.33730234	1156.54384969	1767.77322697	2777.44650182	6.33152656e+08	1.20666442e+09	2.93355137e+09
1007	0.5642951	1.5065237	0.9367088	615.6131	12.043077	11.24648	-0.030226573	-0.16681258	305.40187792	649.30470488	1442.76289894	1243.11912721	1905.03867278	3001.50108676	4.5895266e+08	1.0236614e+09	2.53279702e+09
1008	6.1048274	0.5657833	3.0403328	1366.1508	31.883974	31.65283	-0.9246612	-0.10674866	1159.58304929	2478.04908145	5224.51315466	1455.92289148	2224.39390192	3469.78092186	2.13787751e+09	4.70138326e+09	1.10183125e+10
1009	4.99346	0.856085	0.91485846	3016.8281	40.136246	21.62285	0.029331801	-0.17458695	130.05839972	249.78008003	546.25285234	305.01837096	470.8871621	755.4397223	8613530.58072511	18929554.56294905	49479356.48800518
100	4.724484	0.05542008	2.6755137	619.30695	39.81017	12.665935	-0.9494981	0.08944283	118.73068759	200.90349591	370.42601516	429.89059373	660.72771235	1049.73764884	23643668.86714316	44226344.36472508	94956067.90659702
1010	3.9866214	0.9764797	2.7754197	2819.67	42.02894	18.959295	-0.08432399	-0.32946652	249.65316049	512.76280252	1384.67149817	648.45116246	999.83239598	1554.21981601	47117916.43508255	1.08729779e+08	3.2193767e+08
1011	4.113073	-0.5937884	2.4685793	995.75726	16.359879	12.628489	-0.035509516	-0.07412655	458.34628005	883.85664645	2135.7660087	1214.39886926	1860.19769273	2930.12202329	6.65682037e+08	1.37571542e+09	3.65057195e+09
1012	0.6401797	-1.2927978	2.45722	1868.878	14.622605	11.858134	0.36819488	-0.3700182	277.12239498	552.72197737	1126.69034774	621.41577353	950.83294495	1491.54633056	80087929.71527737	1.91420248e+08	4.8201059e+08
1013	6.047029	-0.07164174	1.4213138	843.3404	17.846205	11.750295	0.28614363	0.9231566	546.49228896	1025.24170265	2147.29065805	1118.49228504	1714.56480604	2702.40872262	6.75165949e+08	1.3650351e+09	3.18255083e+09
1015	4.9119678	0.21291628	2.419191	1503.6136	38.98773	27.71053	-0.3380199	0.44562533	141.37396861	255.5249848	657.64142899	517.42225882	804.79880498	1369.21851338	23722133.53482891	46764338.51038355	1.41416597e+08
1016	0.8800999	-0.0582171	1.0878203	1080.0582	27.191336	26.467255	-0.012467217	-0.014042018	1586.98119141	3791.35804851	8505.08238915	333.44649208	509.32535585	798.75619134	97780028.6957053	2.92683318e+08	8.00115837e+08
1017	3.7451572	0.574624	1.9365407	1165.1575	32.508125	27.408457	-0.08014966	0.3874987	3606.14079921	6529.67185199	13212.27807082	689.81704279	1053.78772271	1642.12878535	1.53571315e+09	2.90134221e+09	5.79655014e+09
1018	4.728805	-0.24820533	2.159029	2395.6658	61.662514	14.485763	0.12483079	0.147694	615.69117211	1092.76653834	2103.70984325	698.89976306	1071.21793342	1690.10090016	3.20534846e+08	6.13169761e+08	1.31266011e+09
1019	6.210371	0.9684645	2.56853	5394.38	35.962376	24.575237	0.79287493	0.30472136	9721.46345451	16061.59427947	26898.3413725	796.84159954	1209.28253733	1871.16141128	4.14007091e+09	6.38531504e+09	1.02505307e+10
101	1.8426223	0.09950746	0.7503208	2801.1638	28.44973	13.032369	-0.058492087	0.5927664	4845.79813031	8229.18873707	14403.81775	687.46410271	1050.00753811	1643.35944698	1.75352327e+09	3.15696022e+09	6.13777326e+09
1020	4.6767592	-0.5538523	2.2643728	450.7156	37.801147	35.254242	-0.2809205	-0.02029734	936.92014845	1833.74666408	3756.76495365	1419.13631158	2169.7693271	3400.71687476	1.66262158e+09	3.40873208e+09	7.90268997e+09
1021	5.424538	0.42259946	0.71516246	933.0701	10.972003	9.674821	-0.1645645	-0.019589256	807.73368942	1465.48837111	2899.92321639	1191.08157578	1817.79672035	2830.22570042	1.02446638e+09	1.87283165e+09	3.78283133e+09
1022	5.0964704	0.67856973	2.3322358	9012.48	81.91547	70.34523	0.3574119	-0.19305456	1.54113448	2.7996117	5.39697554	75.86672074	106.73361553	155.02800961	2033.6462765	3840.69762321	8371.14374748
1023	1.0604796	-0.7379775	0.5243905	1014.3916	13.635628	7.58154	0.20600978	-0.40991637	339.16206451	667.3592617	1507.04360426	1361.63001515	2084.31929273	3274.02718802	5.74448678e+08	1.25601774e+09	3.2562697e+09
1024	2.8944201	0.06406342	2.6933758	1717.0984	55.034977	47.237186	-0.019946082	0.049848042	1047.59589652	1923.50312533	3661.67363739	1604.98227236	2451.79992731	3835.78202262	2.38647094e+09	4.6132508e+09	9.91549755e+09
1025	1.8287162	-0.32657853	2.199959	2308.3225	29.028244	21.176186	-0.9939779	0.67768556	796.6743035	1429.17858678	2832.10525574	1267.30712352	1931.64126212	2996.91904467	1.06053048e+09	1.92999362e+09	3.96759332e+09
1026	6.2377553	-0.8830009	1.8985283	4141.7236	53.153614	44.021946	0.084159255	0.18367577	11.38613107	23.45068474	112.97762206	437.63756415	695.044076	1254.35880648	2462064.1575415	5912186.89307171	46859784.95127127
1027	2.2232218	0.8799205	0.71438247	1878.1783	46.05942	14.932962	-0.27345905	0.56197274	3729.69723623	6650.05865497	13373.67980499	721.20375448	1104.01566011	1724.71278038	1.85922319e+09	3.37724772e+09	6.49733962e+09
1028	5.7330227	-0.36460382	2.4329824	3861.505	32.74924	30.789808	-0.15120853	0.28850606	7160.08518157	12033.50879129	19822.23607105	1137.17765522	1732.7083141	2697.70345384	6.42330146e+09	1.14103756e+10	2.07732347e+10
1029	0.3086095	0.720779	2.0264962	720.6881	8.213497	8.038705	-0.09970457	0.4818466	378.16890605	755.34135321	1612.87239063	870.72125632	1333.1246271	2098.30436613	2.72813172e+08	6.00108285e+08	1.44278645e+09
102	4.1910677	0.36446032	0.6309692	5964.796	33.491558	26.396708	-0.12638132	0.23343328	113.39282701	202.82334766	405.51515053	671.53953757	1034.21543149	1651.38143113	50544935.9963832	98865006.90361284	2.26877089e+08
1030	2.3631883	0.3673133	2.5524118	3394.0674	79.358284	74.890724	0.07523946	0.016539466	168.62405108	443.84428188	6334.55313415	673.89832079	1104.3187446	2060.33686326	35957518.28143884	1.18934524e+08	4.53155955e+09
1031	4.328472	-0.50177896	1.3487276	1621.5006	17.176247	15.134331	-0.094338804	0.9304994	9909.6112044	16329.22963633	27160.47099454	929.04157025	1409.43771694	2180.04134258	5.96456317e+09	9.17764189e+09	1.46398368e+10
1033	4.4423523	-0.5462055	2.162214	4960.1333	65.3413	47.742496	0.86092895	0.30322754	250.35214095	484.33962703	1131.5048007	744.02855875	1142.44856351	1811.41120185	1.44193273e+08	2.99304991e+08	8.20090854e+08
1035	3.5040212	0.524861	0.08962045	3563.8015	55.49909	54.85903	-0.13260783	-0.6546412	32.01085389	64.78209208	270.2644628	506.44294472	777.42295288	1230.54430258	10181799.13537746	23080825.82865742	96669123.91572988
1036	6.104594	-0.3392084	0.96784776	1260.7279	23.078884	22.652908	0.6671737	0.18243656	74.50430295	134.50013966	306.64781697	281.83121687	435.3242822	702.75850401	6113697.4254756	11777699.72353796	28484421.466127
1037	1.7820405	0.81907505	2.30073	2510.391	86.28833	64.378075	0.6132234	-0.2363365	177.8373488	338.09071704	820.71584359	554.07534952	853.2780192	1362.83542143	58086439.08509274	1.10838864e+08	2.67759434e+08
1038	0.71935034	0.90101236	2.013975	799.6351	32.240685	28.595026	0.4336413	-0.3061525	111.01297835	209.8991401	488.34025006	190.23182658	291.95900749	447.9830099	2451328.39479131	4839808.29723077	11588689.40545477
103	1.3956603	-1.2660667	2.9460804	715.7289	8.203317	7.1895504	0.39930227	-0.6147355	176.79376717	369.19655962	917.54485532	735.68727145	1129.64224931	1790.18058481	1.15875333e+08	2.54816479e+08	6.63475121e+08
1040	6.138164	0.1076967	0.38043308	2135.089	55.8256	44.294823	-0.48253378	-0.05160017	4111.9991482	8166.27632337	16194.34322932	981.42275495	1488.5494716	2303.78174128	2.47505809e+09	5.65003292e+09	1.23007271e+10
1041	4.6449914	-1.2204942	2.7196498	3509.85	44.80167	30.853704	-0.08736817	-0.03214117	376.95802403	791.13029923	1795.96614424	826.4174455	1267.27012768	1999.09099473	2.72608695e+08	5.87525658e+08	1.43129716e+09
1042	5.002541	0.23773558	1.2170787	506.39056	36.474358	28.944172	-0.40248132	-0.078580834	0.59649117	1.06705182	2.20649845	59.19628049	91.35269906	147.55647035	1729.67032033	3470.76166187	8362.2576091
1044	4.034401	0.52202934	0.9458042	1764.1246	50.757217	41.024284	0.55730784	-0.4529231	75.00484609	170.07684624	378.44084546	419.75059138	645.40007734	1026.54818318	18144876.98924142	41563111.33281968	1.01084312e+08
1045	3.276471	-0.93863845	0.85890675	771.7823	11.216579	6.365332	-0.42233437	-0.035010982	315.37591525	601.11709347	1232.66772213	562.45647699	862.63232	1363.50307535	1.20130451e+08	2.41426209e+08	5.30044549e+08
1046	0.53942376	-0.7809038	1.1722306	1211.5105	59.005795	27.41849	-0.26560074	0.2542728	567.46030285	1506.20936085	3483.79933827	1623.3845168	2468.58948541	3796.33178468	7.463601e+08	2.8276415e+09	8.30467104e+09
1047	4.758066	-1.0739177	2.9122853	3859.7795	37.744293	20.246248	0.034272455	0.7583922	673.70531653	1302.38834441	2668.90437034	1577.68946608	2390.0056459	3693.49978399	1.2638884e+09	2.67060059e+09	6.30424531e+09
1048	0.31749767	-0.748923	0.7442906	1337.3934	18.606592	12.685223	0.086828806	0.38155004	2222.50573257	5198.15051157	15560.5616687	1804.66926933	2714.51546604	4172.35868601	4.042006e+09	1.13528276e+10	4.48317754e+10
104	1.4531814	0.43086687	0.52270234	3633.568	19.823153	15.77636	0.29620516	0.49672428	76.11789301	143.53917649	394.35777914	206.4511262	319.74494626	517.24956498	2167389.00636233	5058946.17453169	18077691.52030838
1050	3.936056	1.0644131	1.57085	2280.6802	101.49284	74.02163	0.15471911	0.14574166	63.53069499	117.10815538	255.53710676	212.68879859	327.9086456	525.76146769	1902621.23611868	3957675.78420237	10236963.69833601
1051	4.4728947	-0.06803372	2.7192822	5093.055	68.91178	40.66462	0.16270429	0.08792876	989.61414649	1850.97972325	3704.09631002	736.06041049	1122.90137645	1756.70251273	4.35380196e+08	8.60853464e+08	1.85485292e+09
1053	5.3811126	-0.12690926	1.7470455	568.2402	34.51257	14.219438	-0.042923644	0.029376881	655.18791041	1168.26735609	2280.91775167	1247.44095681	1905.59518957	2973.19320461	9.52399775e+08	1.71357583e+09	3.39903015e+09
1054	3.6255915	-0.89508754	0.41981092	1494.8481	23.34861	19.021425	0.41127908	0.5931434	1023.56039165	1952.75621158	4111.1786671	957.52635798	1471.42140967	2333.36175083	6.87321639e+08	1.5214881e+09	4.00489769e+09
1055	4.026362	-0.43728706	0.9878343	1229.1609	26.553846	23.752996	0.14795844	-0.21097118	1853.38250696	3324.99807569	6598.12392181	476.12618037	725.92028178	1126.73845162	2.82089179e+08	5.14085379e+08	1.06520137e+09
1056	4.965234	-0.5908781	2.586708	6202.8164	61.131474	48.72625	-0.12704656	0.42080352	1310.62187775	2437.95250538	4990.32599973	236.26673007	361.66715222	568.08439067	43858734.40344363	86003246.01866505	1.90657729e+08
1058	0.085256085	-0.17326988	0.53803706	1531.5991	34.116985	13.752918	-0.20623729	0.3885821	416.10962581	848.46288981	2533.3181939	1069.539285	1585.94083159	2381.44606271	1.28658359e+08	4.35958478e+08	2.33423286e+09
1059	2.0663812	-0.047714192	2.5607204	4339.401	50.885056	32.12162	-0.36045378	-0.0011686682	1524.62308402	2659.66883049	5314.12220305	58.78131833	89.7527474	140.29191853	973820.85165462	1859358.28480474	4057066.24011099
105	3.241924	-0.10209821	0.4286992	1777.4297	59.285572	28.807253	0.06796107	0.0076249815	455.9001549	893.79084083	2242.70945763	1035.09391084	1604.20970833	2614.95780429	3.75142396e+08	8.53424162e+08	2.68741656e+09
1060	1.4728358	0.1633401	2.7520943	2502.27	33.34701	31.33127	-0.42730114	-0.56043696	388.61604741	731.86233649	1491.3949821	1273.81332151	1948.7181228	3056.3471711	6.47043267e+08	1.273309e+09	2.75761156e+09
1061	0.7085233	-0.484763	1.6054952	410.91095	9.500281	8.368152	0.17573373	0.12892728	142.78007957	264.59451909	537.08392516	416.42550999	638.11761956	1004.59710005	25465607.82507325	47647882.99774812	1.0001187e+08
1062	4.8018856	-0.0517907	0.9181959	3200.0774	120.51141	42.02659	-0.026889428	-0.3507107	100.79848481	176.21447395	334.60233744	238.454623	368.8290367	595.38478393	4380820.57155531	8740620.55488926	19785622.09932553
1063	2.851421	-1.2418652	0.29801148	1710.6298	29.561987	22.235016	-0.01827629	0.026533687	120.1689284	244.84828555	560.44212458	355.50767328	545.73032678	863.27713011	13825849.03199302	29197766.52041548	68699818.13249394
1064	0.8232321	-1.20686	0.5934526	5855.7607	75.935196	67.15913	0.1123186	-0.007925118	219.14809237	381.6958097	755.71151255	610.00636791	935.7346103	1477.37604846	85292281.85166772	1.63249885e+08	3.61362596e+08
1065	5.822175	0.12670001	2.353364	2335.844	79.21749	34.52227	0.20333955	0.5720984	744.45540249	1184.48181303	2001.58974542	1296.72489797	1933.86340948	2925.97339159	4.41143365e+08	9.17038901e+08	1.98877994e+09
1066	0.37396505	0.8177749	0.89001137	2864.0544	40.58788	31.009077	-0.29472056	0.29926252	254.38590144	485.29562796	1173.9025934	617.4936661	951.71065759	1525.16548293	94305219.27762209	2.10103339e+08	6.3714859e+08
1067	0.41749352	0.07323387	2.2696989	4322.3154	98.948456	55.149628	-0.057275634	0.57570225	475.38537962	893.01498734	2005.38532223	846.06477219	1294.87542001	2036.75271413	3.37474892e+08	6.44561939e+08	1.52314268e+09
1068	4.0152035	-0.3926022	1.3841321	1094.4755	36.41288	28.055147	0.38956207	-0.1517267	559.57480001	972.51233835	1902.63992573	1506.99382128	2297.66421326	3568.18951647	1.0904342e+09	2.11743892e+09	4.66474418e+09
1069	1.7811089	-0.99017054	2.2670856	2779.6655	70.19481	68.078354	0.20619969	0.0018499196	6890.10663381	11433.51242591	18954.70924785	1084.70843058	1652.3778938	2573.21124175	5.94124328e+09	1.03533014e+10	1.87921399e+10
106	4.3150997	-0.4515913	1.4363089	1039.175	35.55582	30.09835	-0.6091547	0.007177645	1059.7316053	2041.42044762	4161.00815618	1230.63842023	1877.03821368	2924.6147112	1.46067146e+09	2.91537164e+09	6.3630757e+09
1070	0.6589414	-0.28617176	0.8201778	2024.1945	13.620506	11.016818	-0.10139401	0.011459343	8635.48404005	14475.77375594	25213.32676426	170.83361179	257.79038359	394.63852246	91898806.3910093	1.42362216e+08	2.30753694e+08
1071	1.6153743	0.21161503	1.2469218	1895.6558	31.283266	22.560266	-0.13580634	0.27234283	9813.96207218	16194.21757234	27028.11966919	874.21509832	1327.42577322	2055.39941646	5.08645342e+09	7.84140488e+09	1.25765947e+10
1072	5.1019826	0.7587349	2.15265	3990.4358	42.89864	29.210747	-0.012930482	-0.36366576	345.55256836	676.70860951	1646.45833455	559.26928544	860.00308619	1360.82876031	99891952.62337716	1.92646171e+08	4.86711297e+08
1073	4.4212136	-1.0824116	1.8764445	1182.046	18.173256	15.815856	-0.13166343	-0.042274155	1324.78758572	2481.56331336	5026.07267726	440.93169334	671.97481208	1046.63919009	1.77567067e+08	3.51622413e+08	7.74732785e+08
1074	0.22449394	-1.0617218	1.7159071	345.4015	24.650425	20.827765	-0.4681965	0.59042335	4274.21036903	7851.78127527	13747.37963976	585.58777958	895.29102921	1403.92199664	1.16140372e+09	2.23199046e+09	4.35743016e+09
1075	5.972414	-1.048441	0.9006455	4268.813	51.80836	37.74441	0.19641332	-0.06733766	228.25240896	554.88119803	1369.63926726	678.23587252	1062.28743817	1713.36144993	79602830.66454479	2.50672923e+08	8.27733301e+08
1076	2.4027588	0.7399748	1.1046791	2272.2048	20.166723	17.111923	0.168079	-0.018261574	238.96074696	478.62630337	1238.44259165	794.93131886	1217.50789063	1910.75597516	1.18485081e+08	2.4633351e+08	6.82842083e+08
1077	3.7141645	-0.2795169	0.588357	4907.8745	70.273575	63.22431	-0.06528883	0.32164446	9498.13247696	15739.70594633	26574.22667188	628.02757632	951.86787128	1470.13976101	2.40431171e+09	3.71264992e+09	5.97536429e+09
1078	5.6515436	-1.2438425	2.565142	1330.816	23.619684	19.762589	-0.29326516	0.022602212	698.20611305	1172.19208789	2135.81236382	1190.05674022	1824.04462563	2877.04629902	7.756037e+08	1.44963469e+09	3.06621869e+09
1079	0.64918184	0.56062466	1.7515306	394.502	10.483862	7.950658	0.07373016	0.24654862	5271.49190479	9439.63818116	17800.20043876	936.68019951	1429.38814317	2230.51344014	3.85043505e+09	7.1244686e+09	1.34175196e+10
107	4.48209	1.1886297	0.58590096	9988.254	128.55534	52.195827	0.61941814	0.007924316	8.66013304	15.02409934	31.83546483	247.09036212	380.95434108	610.63978555	660672.75702139	1313725.6230991	3517015.82166126
1080	5.6558747	0.29816872	2.8785653	1940.3177	19.424824	18.11327	-0.08946857	0.013929002	290.56831456	558.07418313	1145.66686155	965.34106097	1479.90526233	2334.39423615	2.86380041e+08	5.92431571e+08	1.37694027e+09
1081	5.9108763	0.30790412	2.3376875	5719.296	77.13175	69.869415	0.055535115	-0.43855783	39.04251938	72.42794916	177.73064419	116.7679597	181.6386415	299.67668136	428490.6228642	916066.03267018	2635850.10870239
1082	2.20501	-0.43813226	0.7545939	1540.6857	35.732	32.511192	-0.067833155	0.084673174	472.4743967	916.66854991	1828.61731255	862.22274593	1325.73100576	2106.76774019	3.28044059e+08	6.78350629e+08	1.63187817e+09
1083	3.1886969	0.9003362	0.6952911	3330.809	50.068542	41.103275	0.0067068497	0.1837909	337.25883195	685.80513114	1474.05614835	1051.95268743	1615.83408496	2556.73979674	3.67982682e+08	8.02359455e+08	1.94933728e+09
1084	0.04683659	0.016391577	0.8001489	2462.6162	28.928339	27.365833	0.048885558	0.4591078	199.41097241	381.67933597	791.89647794	362.16413528	558.78753904	897.97278779	27337797.90395877	50905289.06089581	1.03453358e+08
1085	6.028467	-0.9961564	2.6992857	2378.637	20.486456	14.939575	0.6822969	-0.31248784	834.53977308	1528.28586517	2919.186714	1549.21789009	2367.26821197	3702.66244599	1.73400287e+09	3.34399165e+09	7.04153735e+09
1086	4.050293	1.3212352	2.4091034	5401.193	48.95445	44.943832	0.6484036	0.17995058	109.72559116	180.27276863	327.52510987	286.00523434	440.06071217	697.96091419	5250271.20628093	9996494.46934478	21642091.06090866
1088	5.898935	-1.0267078	0.36870733	2044.075	21.304152	13.38631	0.04938341	0.15899767	105.77741361	213.01693207	495.70883271	482.98410639	742.44681037	1178.92197714	29151532.2939714	62328896.69910496	1.48102281e+08
1089	5.077817	-1.0556169	0.9609128	2380.3765	55.65614	43.595226	-0.18871278	0.2508047	632.22077135	1123.14406877	2301.30798709	1348.55336922	2065.30097779	3247.66942897	1.19080166e+09	2.28862265e+09	5.21059572e+09
108	4.6484456	0.3994863	0.98852277	394.55222	9.18672	7.739142	-0.14035004	-0.02421017	1.86707406	3.35423845	6.98428791	139.97628871	216.82250498	343.76407869	29500.5477834	58531.9371507	131118.70121
1090	5.030738	0.2230838	2.6239343	281.9635	16.391348	9.774351	0.31560048	-0.76458454	6324.80851577	10691.90060982	18731.43042314	691.31232007	1053.87827657	1643.58540647	2.10693265e+09	3.84966124e+09	7.18403325e+09
1091	4.6823363	0.53548163	0.40517363	3702.1082	42.40865	28.174788	-0.4008872	0.17849769	6192.88693726	9879.59017274	16307.58700481	919.40787255	1404.74252645	2199.49641076	4.21158065e+09	7.11111457e+09	1.28791536e+10
1092	5.9875116	-0.65715563	3.0102165	1334.0815	53.566723	13.619672	-0.2090928	-0.022016024	214.78555146	374.79748864	844.1766893	420.17299985	645.48316785	1019.67944664	31202962.19207401	58625651.62081092	1.44653856e+08
1093	1.0148706	1.1359674	2.2709825	1217.695	45.027466	28.039892	-0.27413237	0.19285566	8559.41222898	13884.93000197	23015.66991568	563.30183335	856.40907189	1328.85235945	1.62931152e+09	2.70497417e+09	4.59854878e+09
1094	1.7291505	-0.9434042	1.2676398	1741.4365	41.238644	38.942596	-0.552216	-0.4113329	1462.64841588	2799.76710635	6538.14173404	274.77240015	420.21774088	660.25729925	72852717.43165235	1.52731985e+08	3.89061901e+08
1095	2.1849642	-1.1344637	2.6538363	1525.1787	22.508503	8.421935	0.15360284	0.07262906	678.06799839	1416.43603503	3566.00963396	1259.43740332	1920.53124116	2975.53957222	8.68181708e+08	2.12682568e+09	5.89370934e+09
1096	3.7645023	-0.42439696	2.8368254	3070.0786	94.79192	69.813	0.40619314	-0.42462805	727.14187235	1240.08894152	2339.96878635	1517.63282984	2323.69501862	3652.91391405	1.67851053e+09	3.08470852e+09	6.54091285e+09
1097	2.2992723	1.0494953	2.063394	841.82306	13.855435	9.058124	0.810858	-0.014369396	114.96221378	396.64435565	1236.0820206	638.17971825	964.44833044	1462.59760088	14884386.36454871	97965607.48303083	4.03017509e+08
1098	5.9249845	-0.9949592	0.8789843	2246.8828	38.840828	24.79455	0.12388807	-0.11579684	225.54741773	442.66575252	1285.69346645	1077.21429043	1641.16654973	2562.15321546	1.78308231e+08	4.24260296e+08	1.56254549e+09
1099	3.3970637	-1.1646312	0.70779115	1152.1761	29.861206	12.096015	0.10499855	-0.6233047	879.70673707	2587.644495	8915.89692704	489.6228446	754.88515745	1196.46356524	1.27089965e+08	5.02156268e+08	2.0749477e+09
109	1.4484262	-0.6357637	0.9386179	706.40454	23.77514	13.701302	0.08075868	0.11648515	71.50812313	156.48274347	387.9001152	571.25656121	881.60493617	1411.55420702	25091013.40605738	63688753.51371545	1.80116209e+08
10	2.7476573	-1.2241757	2.8669593	1603.6646	20.592789	13.368216	-0.2314451	-0.18359552	1338.09952716	2430.41954997	4781.53117352	704.86567615	1075.51630746	1678.77611539	5.54802732e+08	1.02870786e+09	2.16000228e+09
1100	1.1980602	-0.74523807	2.5741944	3145.6963	35.691277	20.094961	0.34240726	0.6489066	11.90436748	24.37993767	53.62041337	192.96220837	297.04291022	474.17621547	451212.74550247	980126.97532928	2421449.68418632
1101	3.0792038	0.059884604	0.31669685	2338.3555	19.348846	18.7852	-0.9235954	0.22347897	1076.68713217	2404.61525906	5428.77232619	278.64468257	431.51767661	687.94400887	62311983.8273498	1.44314742e+08	3.53746813e+08
1102	2.9735942	0.20878327	2.7249777	7491.1113	90.95907	80.311905	-0.025364729	-0.06775313	334.10387938	609.44477993	1206.28925427	635.6976393	972.54745081	1527.49003241	1.32317368e+08	2.71928087e+08	6.11981819e+08
1103	1.7546467	-1.4360268	2.467442	3672.196	38.99753	34.921246	0.6702486	0.52079016	126.28203267	238.9106674	519.49334661	506.11508512	782.21972567	1264.6651631	34155342.96819552	69902074.54935992	1.61740873e+08
1105	0.5424299	-0.7282183	1.6154622	1192.2495	16.06932	15.942037	0.0072563984	0.30708644	78.49048698	152.69949066	310.54601703	371.33828415	571.70402661	911.60255543	13067752.10502579	27228845.06492436	61743157.69925918
1106	0.8615077	-0.08148393	2.4798076	905.23816	12.760753	6.8059254	-0.33499005	-0.38027912	6157.98465831	11316.51532962	20201.44981184	1002.61091171	1528.05290253	2377.18298258	3.34822439e+09	7.3383219e+09	1.48543951e+10
1107	0.7646363	0.56691915	2.123036	1113.3618	48.47603	9.437996	0.287634	0.85595554	7549.89157749	13008.56814188	22004.24690112	1126.85475288	1711.71979033	2654.06106493	5.77610313e+09	1.07448446e+10	1.98857593e+10
1108	1.1360292	0.9431936	2.658466	3758.2383	21.662947	16.753227	0.20525113	0.18886477	297.46586619	556.56014169	1134.52873137	614.92001276	942.98329041	1489.0705805	1.25353131e+08	2.38927975e+08	5.07408486e+08
1109	3.254805	0.995797	0.44169605	6785.215	104.56948	94.37628	-0.31736544	-0.10238277	113.42871606	227.55786946	486.03516864	498.20055944	772.68884174	1251.81960734	28812398.97053353	69282406.82725142	1.92319076e+08
110	0.009937796	-0.15594546	1.3289335	1042.8018	56.514183	20.082788	-0.068624124	-0.46315432	488.89413553	912.26855927	1911.40123296	1238.45340473	1892.32484228	2968.53550097	7.69619934e+08	1.53521369e+09	3.38555587e+09
1110	3.3245168	0.45695978	2.405118	1078.8112	25.918129	12.146903	-0.099038504	0.05684897	9581.02360921	15860.02017729	26695.49546369	655.33457592	991.18991456	1526.19535751	2.75400011e+09	4.24285179e+09	6.78474675e+09
1111	2.6140716	-0.21057007	2.604692	3866.9624	40.720753	33.839325	0.14139383	-0.3540124	1443.48355859	2580.40582027	5112.88623454	1231.4751534	1883.84611481	2952.69872012	2.18065169e+09	4.08577732e+09	8.53595218e+09
1112	3.6068227	-0.6994671	0.30937812	1264.1129	8.398673	7.8605943	0.21189769	-0.1676407	7435.99833713	12167.38072937	20633.55752171	1112.81362104	1697.52738238	2648.25093806	6.48226262e+09	1.12746431e+10	2.02446875e+10
1113	0.07535219	0.8500552	0.8081225	1065.9447	27.358433	24.20339	-0.78523284	-0.41232312	536.04018817	961.39098311	1896.25879816	972.66359271	1489.39684106	2343.64185111	5.6842236e+08	1.08052078e+09	2.29814211e+09
1114	3.000452	-0.35029054	2.847088	630.0252	14.242734	10.139849	-0.056815732	0.30047393	10017.2911415	16481.95645781	27307.19458448	1035.86271102	1573.1419396	2436.62858742	7.50137381e+09	1.15391964e+10	1.84021952e+10
1115	4.2788305	1.1790307	0.7320427	3122.886	101.46126	35.596664	-0.5168176	-0.17553897	6646.28019657	10656.6348344	17589.77116379	1036.85863075	1584.29176735	2481.12519082	5.9071213e+09	9.92963778e+09	1.76826079e+10
1116	1.8244984	-0.038427476	0.63929397	3012.421	38.772243	34.1103	-0.47822332	-0.4323542	404.2234944	806.30454525	1977.40299324	819.1756003	1258.81226003	1993.62444676	2.00335413e+08	4.35372073e+08	1.08599931e+09
1117	4.769531	-0.49988973	2.319136	430.24448	30.826313	28.643206	-0.18433657	0.02553972	165.15301171	289.50419302	565.16749632	514.92086282	790.35872974	1250.74124697	48686068.03371637	94544609.6722216	2.07234353e+08
1118	0.025403786	-1.2353384	2.456688	4341.1167	42.10124	31.033503	0.13423404	0.1607903	38.9445439	99.97951114	240.80231894	235.07674059	363.8353666	589.92800278	2365184.18482235	6171326.64382978	16216278.52742684
1119	4.237365	0.5315124	2.0871258	825.6927	14.337017	11.316112	0.18719724	-0.3315806	516.17922978	919.73444021	1789.01831321	818.31407303	1249.86366248	1960.62642	3.08929276e+08	5.55479136e+08	1.12685347e+09
